dbn,name,address,borough,zip,phone,district,grade,cbo_partner,type,x,y
01M015,P.S. 015 Roberto Clemente,333 East 4 St,Manhattan,10009,212-228-8730,1,ES,Pathways to Leadership,AIDP/Renewal School Program,989998,202288
01M188,P.S. 188 The Island School,442 EAST HOUSTON ST,Manhattan,10002,212-677-5710,1,ES,"Sports and Arts in Schools Foundation, Inc.",AIDP,990375,201446
01M292,Henry Street School for International Studies,220 Henry St,Manhattan,10002,212-406-9411,1,SS,Henry Street Settlement,Renewal School Program,988038,199291
03M149,P.S. 149 Sojourner Truth,41 WEST 117 ST,Manhattan,10026,646-672-9020,3,K-8,"New York City Community Learning Schools Initiative, Inc.",Renewal School Program,998694,231521
03M415,Wadleigh Secondary School for the Performing & Vis,215 WEST 114 ST,Manhattan,10026,212-749-5800,3,SS,"Teachers College, Columbia University",Renewal School Program,996946,231546
04M050,P.S. 050 Vito Marcantonio,433 EAST 100 ST,Manhattan,10029,212-860-5976,4,K-8,The Children's Aid Society,Renewal School Program,1000443,225373
04M377,Renaissance School of the Arts,319 EAST 117 ST,Manhattan,10035,212-534-6072,4,MS,"Partnership with Children, Inc.",Renewal School Program,1001869,229762
04M381,Global Neighborhood Secondary School,240 East 109 St,Manhattan,10029,212-289-4204,4,MS,"Global Kids, Inc.",AIDP,1000226,228219
04M409,Coalition School for Social Change,2351 FIRST AVE,Manhattan,10035,212-831-5153,4,HS,"Partnership with Children, Inc.",Renewal School Program,1002705,230326
05M123,P.S. 123 Mahalia Jackson,301 WEST 140 ST,Manhattan,10030,212-342-6200,5,K-8,Graham Windham,Renewal School Program,999630,237945
05M154,P.S. 154 Harriet Tubman,250 West 127 St,Manhattan,10027,212-864-2400,5,ES,"Teacher's College, Columbia University",AIDP,998385,234724
05M194,P.S. 194 Countee Cullen,244 WEST 144 ST,Manhattan,10030,212-690-5954,5,ES,"Teachers College, Columbia University",Renewal School Program,1000596,238590
06M132,P.S. 132 Juan Pablo Duarte,185 Wadsworth Ave,Manhattan,10033,212-927-7857,6,ES,Urban Arts Partnership,Renewal School Program,1002405,249190
06M423,High School for Excellence and Innovation,650 Academy St,Manhattan,10034,212-569-1022,6,TS,"East Side House, Inc.",AIDP,1005040,254813
06M463,High School for Media and Communications,549 Audobon Ave,Manhattan,10040,212-927-1841,6,HS,"Catholic Charities Community Services, Archdiocese of New York",AIDP,1004430,251133
06M468,High School for Health Careers and Sciences,549 Audubon Ave,Manhattan,10040,212-927-1841,6,HS,"Catholic Charities Community Services, Archdiocese of New York",Renewal School Program,1004430,251133
